"Data do Registro","Dia","Prestador de Serviço","Serviços","Janela de atendimento","Capacidade","Ocupada","Disponível","% Uso"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Reparo MudEnd, Reparo","Período da Tarde","2","2","0","100%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Reparo MudEnd","Período da Manhã","10","1","9","10%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Reparo MudEnd","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","MP., MP MudEnd","Período da Manhã","9","10","0","100%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","MP MudEnd, MP.","Período da Tarde","9","10","0","100%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","MP MudEnd","Período da Manhã","10","1","9","10%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","MP MudEnd","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Troca","Período da Manhã","1","1","0","100%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Troca","Período da Tarde","1","1","0","100%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Desistalação, Desistalação MudEnd","Período da Manhã","1","1","0","100%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Desistalação, Desistalação MudEnd","Período da Tarde","10","0","10","0%"
